,population,state,median income,unemployment rate,adults college educated,poverty rate,image_src
Oxnard,200415,California,"84,941",3.7%,20.4%,12.8%,https://upload.wikimedia.org/wikipedia/commons/e/ea/Embassy_Suites_Lobby_Front%2C_Oxnard%2C_CA%2CUSA_May_2009_-_panoramio_%28cropped%29.jpg
Peoria,197866,Arizona,"86,948",2.8%,35.2%,7.2%,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Peoria_High_School%2C_Old_Main_Building.jpg/2000px-Peoria_High_School%2C_Old_Main_Building.jpg
Overland Park,197726,Kansas,"96,694",3.1%,66.0%,5.0%,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/OP_Skyline.jpg/2000px-OP_Skyline.jpg
Montgomery,196986,Alabama,"55,108",6.3%,35.4%,18.5%,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Aerial_view_of_Montgomery%2C_Alabama_LCCN2011646683.tif/lossy-page1-2000px-Aerial_view_of_Montgomery%2C_Alabama_LCCN2011646683.tif.jpg
Birmingham,196910,Alabama,"39,326",6.3%,30.5%,26.6%,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Birmingham_cityscape_view_2010.jpg/2000px-Birmingham_cityscape_view_2010.jpg
Grand Rapids,196908,Michigan,"65,660",3.6%,41.4%,15.8%,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Meyer_May_House.jpg/2000px-Meyer_May_House.jpg
Knoxville,195889,Tennessee,"52,826",2.3%,32.7%,17.5%,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Tennessee_Amphitheater%2C_World%E2%80%99s_Fair_Park%2C_Knoxville%2C_TN_-_52473476511.jpg/2000px-Tennessee_Amphitheater%2C_World%E2%80%99s_Fair_Park%2C_Knoxville%2C_TN_-_52473476511.jpg
Vancouver,194512,Washington,"76,799",6.9%,31.2%,10.0%,https://upload.wikimedia.org/wikipedia/commons/a/ad/Vancouver_WA_Collage.jpg
Huntington Beach,194310,California,"111,122",4.2%,50.4%,7.0%,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Huntington_Beach_CA_USA_%28cropped%29.jpg/2000px-Huntington_Beach_CA_USA_%28cropped%29.jpg
Providence,189563,Rhode Island,"64,184",4.5%,36.9%,21.0%,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Weybosset_Street_view%2C_Providence%2C_Rhode_Island.jpg/2000px-Weybosset_Street_view%2C_Providence%2C_Rhode_Island.jpg
Brownsville,189382,Texas,"46,912",5.8%,22.5%,24.2%,https://upload.wikimedia.org/wikipedia/commons/5/5a/Brownsville_Skyline.jpg
Akron,188509,Ohio,"45,534",5.1%,24.8%,24.4%,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/AkronArtmues.jpg/2000px-AkronArtmues.jpg
Tempe,185950,Arizona,"76,007",3.3%,50.3%,15.0%,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Tempe_AZ_Skyline_August_2023.jpg/2000px-Tempe_AZ_Skyline_August_2023.jpg
Newport News,184306,Virginia,"64,102",6.1%,28.4%,16.9%,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Victory_Arch%2C_Newport_News-2.jpg/2000px-Victory_Arch%2C_Newport_News-2.jpg
Chattanooga,184086,Tennessee,"64,340",2.7%,39.8%,15.3%,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Chattanooga%2C_Tennessee_%282023%29.jpg/2000px-Chattanooga%2C_Tennessee_%282023%29.jpg
Mobile,183289,Alabama,"50,051",5.6%,31.0%,22.9%,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Mobile%2C_Alabama_Skyline_%282022%29.jpg/2000px-Mobile%2C_Alabama_Skyline_%282022%29.jpg
Fort Lauderdale,183146,Florida,"81,544",2.7%,43.0%,18.5%,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Skyline_of_Fort_Lauderdale%2C_Nov-15.jpg/2000px-Skyline_of_Fort_Lauderdale%2C_Nov-15.jpg
Cary,180388,North Carolina,"125,414",1.6%,71.9%,3.8%,https://upload.wikimedia.org/wikipedia/commons/7/78/Cary%2C_North_Carolina._Cary%2C_NC.jpg
Shreveport,180153,Louisiana,"43,643",8.3%,27.3%,24.3%,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Shreveport_LA%2C_USA_-_panoramio_%286%29.jpg/2000px-Shreveport_LA%2C_USA_-_panoramio_%286%29.jpg
Ontario,179061,California,"79,129",4.9%,18.5%,12.6%,https://upload.wikimedia.org/wikipedia/commons/0/0f/Ontario_City_Library05apr2006_%28cropped%29.jpg
Eugene,177923,Oregon,"61,288",5.5%,46.5%,17.0%,https://upload.wikimedia.org/wikipedia/commons/2/29/Photocollageofeugene.png
Elk Grove,177558,California,"106,572",4.9%,37.8%,8.4%,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Sunset_Laguna_Blvd_%28cropped%29.jpg/2000px-Sunset_Laguna_Blvd_%28cropped%29.jpg
Salem,177487,Oregon,"70,220",5.4%,33.4%,16.9%,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Salem_Oregon_downtown.JPG/2000px-Salem_Oregon_downtown.JPG
Santa Rosa,177181,California,"95,403",3.6%,35.6%,9.5%,https://upload.wikimedia.org/wikipedia/commons/a/a6/Old_Santa_Rosa_Post_Office%2C_Downtown_Santa_Rosa%2C2.jpg
Clarksville,176974,Tennessee,"63,723",6.0%,28.3%,12.8%,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Downtown_Clarksville_TN.jpg/2000px-Downtown_Clarksville_TN.jpg
Rancho Cucamonga,176336,California,"108,345",6.4%,39.9%,7.3%,https://upload.wikimedia.org/wikipedia/commons/3/37/Virginia_Dare_Winery_Office_Park_-_panoramio.jpg
Oceanside,172199,California,"83,271",3.6%,37.5%,9.7%,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Oceanside_SW01_%28cropped%29.jpg/2000px-Oceanside_SW01_%28cropped%29.jpg
